Image,energy_d1,entropy_d1,contrast_d1,energy_d3,entropy_d3,contrast_d3,energy_d5,entropy_d5,contrast_d5,energy_mean,entropy_mean,contrast_mean,area,centroid_row,centroid_col,perimeter,circularity,label_rule
MCT_25_1_valid_patch_01,0.298402,7.670563,190.753975,0.252286,8.466819,406.428388,0.200096,8.817938,640.015251,0.250261,8.31844,412.399205,693893,507.99,507.52,119152.09,0.000614,Malignant
MCT_39_1_valid_patch_00,0.716973,3.735483,58.157669,0.698403,4.094544,127.962355,0.676822,4.281097,196.432141,0.697399,4.037041,127.517388,267732,817.79,566.17,43567.35,0.001773,Malignant
MCT_39_1_valid_patch_01,0.330428,7.602407,117.929542,0.287172,8.399058,266.49881,0.23765,8.753163,425.474558,0.285083,8.251543,269.967637,661332,516.28,501.92,110521.22,0.00068,Malignant
MCT_41_1_valid_patch_00,0.414105,6.679529,176.433555,0.364648,7.417078,365.711779,0.312011,7.764544,561.649718,0.363588,7.28705,367.931684,563422,493.08,497.93,128255.84,0.00043,Malignant
MCT_41_1_valid_patch_01,0.420054,6.729271,159.841415,0.377457,7.391258,332.673429,0.327326,7.701655,508.368413,0.374946,7.274061,333.627752,566245,534.7,554.11,105179.12,0.000643,Malignant
Melanoma_01_1_valid_patch_00,0.290988,7.549109,183.16394,0.240939,8.371712,391.031206,0.186324,8.724846,618.784359,0.239417,8.215222,397.659835,697479,512.46,511.87,131297.21,0.000508,Malignant
Melanoma_01_1_valid_patch_01,0.288516,7.578387,192.781553,0.24289,8.368202,409.093004,0.191534,8.681607,642.053525,0.24098,8.209399,414.642694,705375,518.79,514.68,117000.0,0.000648,Malignant
Melanoma_02_1_valid_patch_00,0.202563,8.663091,124.889417,0.161783,9.533713,286.252073,0.11679,9.867915,457.135985,0.160379,9.354906,289.425825,800234,503.24,506.43,107907.0,0.000864,Malignant
Melanoma_02_1_valid_patch_01,0.285037,7.811906,165.808853,0.237254,8.621909,363.16797,0.184679,8.949465,575.539591,0.235657,8.461093,368.172138,705751,508.7,511.48,125123.77,0.000566,Malignant
Melanoma_11_1_valid_patch_00,0.148314,9.328527,86.320709,0.114723,10.18693,229.713158,0.077235,10.483124,376.788784,0.113424,9.999527,230.940884,864965,509.81,510.33,89642.44,0.001353,Malignant
Melanoma_11_1_valid_patch_01,0.957353,0.606062,34.063966,0.950586,0.688223,63.232149,0.94519,0.731738,85.8427,0.951043,0.675341,61.046272,5930,479.64,487.06,2946.29,0.008584,Malignant
Melanoma_25_1_valid_patch_00,0.478636,6.509904,110.508595,0.445242,7.110267,255.535065,0.406992,7.395645,399.151042,0.443623,7.005272,255.064901,503175,385.2,538.02,82358.88,0.000932,Malignant
Melanoma_25_1_valid_patch_01,0.177055,8.138883,173.231647,0.140732,8.875403,378.942797,0.101489,9.127116,605.623022,0.139759,8.713801,385.932489,838024,513.6,513.32,91937.92,0.001246,Malignant
Melanoma_27_1_valid_patch_00,0.183902,8.124206,172.202696,0.145199,8.91371,372.58514,0.103764,9.190472,588.425462,0.144288,8.742796,377.737766,826970,503.33,512.38,100073.19,0.001038,Malignant
Melanoma_27_1_valid_patch_01,0.549864,5.405078,136.260646,0.513,5.960095,283.614638,0.470951,6.23799,436.410669,0.511272,5.867721,285.428651,243783,718.87,510.23,50740.48,0.00119,Malignant
Melanoma_29_1_valid_patch_00,0.324441,7.485488,73.152016,0.283076,8.266876,175.787011,0.236209,8.608448,286.584299,0.281242,8.120271,178.507775,651379,450.88,463.38,102705.52,0.000776,Malignant
Melanoma_29_1_valid_patch_01,0.18123,8.75624,64.79652,0.144084,9.613244,172.119114,0.102398,9.932133,285.229445,0.142571,9.433872,174.04836,827561,511.5,514.89,97580.0,0.001092,Malignant
Melanoma_30_1_valid_patch_00,0.24888,8.216071,146.81323,0.206827,9.056352,324.375925,0.159348,9.386212,507.49364,0.205018,8.886212,326.227598,750104,505.87,500.47,109151.45,0.000791,Malignant
Melanoma_30_1_valid_patch_01,0.229067,8.25855,136.259924,0.195101,9.074003,306.290373,0.155569,9.376019,482.111069,0.193246,8.902857,308.220455,780014,542.65,508.37,87075.81,0.001293,Malignant
PNST_04_1_valid_patch_00,0.238785,8.369849,135.004654,0.199438,9.139043,302.730453,0.154236,9.435212,468.838805,0.197486,8.981368,302.191304,763422,540.69,517.2,101856.96,0.000925,Malignant
PNST_04_1_valid_patch_01,0.418359,6.671455,125.695778,0.376326,7.371094,267.079077,0.329025,7.697859,411.095883,0.37457,7.246803,267.956913,534482,475.25,503.44,98676.43,0.00069,Malignant
PNST_15_1_valid_patch_00,0.454152,6.522693,100.071007,0.421028,7.173067,220.661809,0.383142,7.485747,343.059641,0.419441,7.060502,221.264152,538978,569.23,498.2,85284.16,0.000931,Malignant
PNST_15_1_valid_patch_01,0.209605,8.326594,64.8844,0.164738,9.188002,159.047758,0.116059,9.537861,259.261721,0.163467,9.017486,161.064626,789387,508.75,507.43,119052.79,0.0007,Malignant
PNST_18_1_valid_patch_00,0.329197,7.424057,171.358863,0.289341,8.19732,366.529162,0.242959,8.527256,573.417138,0.287166,8.049544,370.435054,667380,505.01,511.19,102619.36,0.000796,Malignant
PNST_18_1_valid_patch_01,0.128332,8.7685,99.65849,0.098331,9.611124,231.147256,0.067672,9.885866,364.960553,0.098112,9.42183,231.9221,894716,501.81,517.11,77939.53,0.001851,Malignant
PNST_19_2_valid_patch_00,0.243028,7.899185,179.956115,0.196693,8.736495,386.498424,0.145827,9.069325,610.491827,0.195183,8.568335,392.315455,752925,522.6,507.96,121273.0,0.000643,Malignant
PNST_19_2_valid_patch_01,0.295249,7.674155,153.106259,0.242012,8.531214,326.484619,0.184488,8.908654,511.446081,0.240583,8.371341,330.345653,688673,508.93,506.95,141120.7,0.000435,Malignant
PNST_20_1_valid_patch_00,0.611826,4.817304,119.623748,0.576167,5.330586,252.326563,0.536143,5.59284,390.008769,0.574712,5.24691,253.98636,371692,531.22,562.37,90343.11,0.000572,Malignant
PNST_20_1_valid_patch_01,0.557344,5.21911,104.968252,0.523814,5.791574,222.43727,0.485615,6.079299,346.356025,0.522258,5.696661,224.587182,391603,414.65,458.48,72192.07,0.000944,Malignant
PNST_22_1_valid_patch_00,0.144842,8.837552,72.995819,0.108534,9.726563,181.172862,0.070209,10.048285,298.190836,0.107862,9.537467,184.119839,868228,513.28,513.28,97060.09,0.001158,Malignant
PNST_22_1_valid_patch_01,0.152243,8.617369,63.771678,0.114546,9.519825,159.366617,0.074713,9.854863,265.418412,0.113834,9.330686,162.852236,859931,512.73,513.99,99723.42,0.001087,Malignant
PNST_25_1_valid_patch_00,0.323585,7.19051,160.886935,0.2685,7.992462,341.952523,0.210623,8.335967,537.244694,0.267569,7.839646,346.694717,656869,509.42,510.95,145344.83,0.000391,Malignant
PNST_25_1_valid_patch_01,0.221072,8.160561,146.2806,0.173919,9.012653,322.201642,0.123302,9.351247,516.936359,0.172764,8.841487,328.472867,774790,513.19,508.73,125324.95,0.00062,Malignant
Plasmacytoma_05_1_valid_patch_00,0.711483,3.681152,97.31156,0.689823,4.049369,200.891682,0.663904,4.251363,311.130509,0.688403,3.993961,203.11125,115383,386.95,796.96,20209.81,0.00355,Malignant
Plasmacytoma_05_1_valid_patch_01,0.731295,3.457795,108.460429,0.707956,3.808299,220.746975,0.679587,4.006663,340.798176,0.706279,3.757586,223.335193,245177,596.1,624.74,50706.79,0.001198,Malignant
Plasmacytoma_13_1_valid_patch_00,0.644284,4.064862,56.442299,0.62305,4.480306,124.477096,0.598213,4.694745,200.457776,0.621849,4.413304,127.125724,348305,502.76,227.36,52969.78,0.00156,Malignant
Plasmacytoma_13_1_valid_patch_01,0.127586,8.991119,78.376054,0.094589,9.876537,195.505471,0.06029,10.189123,324.485045,0.094155,9.685593,199.455523,890187,514.14,506.42,88181.6,0.001439,Malignant
Plasmacytoma_16_1_valid_patch_00,0.203877,8.593679,83.367837,0.159385,9.462904,213.28556,0.110316,9.794724,361.518841,0.157859,9.283769,219.390746,795272,507.3,508.88,118937.94,0.000706,Malignant
Plasmacytoma_16_1_valid_patch_01,0.208654,8.585474,80.323135,0.162845,9.454471,209.912874,0.112443,9.785521,357.643738,0.161314,9.275155,215.959916,788804,507.03,512.57,122874.06,0.000657,Malignant
Plasmacytoma_18_1_valid_patch_00,0.342409,7.330367,119.463889,0.287059,8.127179,268.840087,0.229307,8.469708,437.169178,0.286258,7.975751,275.157718,635321,522.34,496.86,147712.0,0.000366,Malignant
Plasmacytoma_18_1_valid_patch_01,0.30077,7.713678,95.566542,0.245783,8.531255,225.479313,0.187536,8.876116,374.847384,0.244696,8.373683,231.964413,680392,513.63,497.32,146612.02,0.000398,Malignant
Plasmacytoma_25_1_valid_patch_00,0.209658,8.658685,120.607122,0.165193,9.542543,287.322862,0.11625,9.881986,476.057918,0.1637,9.361071,294.662634,788407,509.11,503.63,118827.94,0.000702,Malignant
Plasmacytoma_25_1_valid_patch_01,0.186477,8.535772,112.043139,0.150821,9.321963,261.337302,0.111326,9.604461,421.498095,0.149541,9.154065,264.959512,824235,522.85,531.81,92633.24,0.001207,Malignant
Plasmacytoma_40_1_valid_patch_00,0.531607,5.636435,111.827472,0.502925,6.194484,244.527654,0.46976,6.460531,385.470327,0.501431,6.09715,247.275151,425611,636.39,455.35,68043.38,0.001155,Malignant
Plasmacytoma_40_1_valid_patch_01,0.765798,3.136234,81.275862,0.744029,3.468871,166.580387,0.719046,3.654533,253.805529,0.742958,3.419879,167.220593,153542,291.25,349.42,35629.24,0.00152,Malignant
Plasmacytoma_42_1_valid_patch_00,0.808973,2.60292,77.766131,0.790445,2.874148,157.111827,0.768822,3.033571,236.194135,0.789413,2.83688,157.024031,141242,636.9,590.5,34899.41,0.001457,Malignant
Plasmacytoma_42_1_valid_patch_01,0.821049,2.475087,35.336926,0.804427,2.740135,76.034352,0.786333,2.888792,115.94516,0.803936,2.701338,75.772146,67439,456.29,313.5,15116.68,0.003709,Malignant
SCC_01_2_valid_patch_00,0.442968,6.551734,102.307172,0.409962,7.221621,223.683869,0.372402,7.543381,353.064579,0.408444,7.105579,226.351873,541888,499.37,500.0,80976.04,0.001038,Malignant
SCC_01_2_valid_patch_01,0.151112,8.797343,105.782911,0.119085,9.671705,245.70094,0.084246,9.98576,392.536423,0.118148,9.484936,248.006758,865854,496.46,506.42,83752.98,0.001551,Malignant
SCC_16_2_valid_patch_00,0.204465,7.983633,86.821186,0.164707,8.805124,198.448934,0.121437,9.119308,319.957848,0.163536,8.636022,201.742656,802482,504.82,517.63,102869.04,0.000953,Malignant
SCC_16_2_valid_patch_01,0.422414,6.491104,81.312763,0.386076,7.176983,180.821869,0.344281,7.510531,286.725858,0.384257,7.059539,182.953497,528446,652.41,534.3,86067.53,0.000896,Malignant
SCC_17_1_valid_patch_00,0.395939,6.747007,144.0977,0.349305,7.453402,307.383891,0.298445,7.776322,480.823259,0.347896,7.325577,310.768283,588907,519.18,497.2,121421.7,0.000502,Malignant
SCC_17_1_valid_patch_01,0.263729,7.997688,161.206973,0.215647,8.841309,348.932766,0.164321,9.18396,548.229004,0.214566,8.674319,352.789581,726974,523.05,503.67,128475.35,0.000553,Malignant
SCC_24_1_valid_patch_00,0.159836,8.687512,110.731712,0.127324,9.505544,252.540469,0.091542,9.794699,397.55548,0.126234,9.329252,253.60922,856643,514.67,515.46,84210.6,0.001518,Malignant
SCC_24_1_valid_patch_01,0.333576,7.309426,150.707947,0.296729,8.036425,328.988286,0.252857,8.341338,518.874298,0.294387,7.89573,332.856844,666954,467.88,485.92,92635.06,0.000977,Malignant
SCC_25_1_valid_patch_00,0.19165,7.89632,81.371092,0.153522,8.69255,183.430809,0.1124,8.986482,292.947948,0.152524,8.525117,185.916616,820379,508.61,513.9,96701.96,0.001102,Malignant
SCC_25_1_valid_patch_01,0.149748,8.992207,88.873846,0.114127,9.882302,217.008732,0.075512,10.206291,353.15154,0.113129,9.6936,219.678039,862674,505.01,511.56,94828.2,0.001206,Malignant
SCC_26_1_valid_patch_00,0.420376,6.324591,78.266419,0.374522,7.057672,173.660099,0.323931,7.4092,278.638454,0.372943,6.930488,176.854991,563254,471.61,584.19,117674.43,0.000511,Malignant
SCC_26_1_valid_patch_01,0.351432,7.055429,104.123228,0.298153,7.851151,230.359461,0.241441,8.202453,369.431219,0.297009,7.703011,234.637969,627612,536.75,488.59,139607.84,0.000405,Malignant
SCC_28_1_valid_patch_00,0.172886,8.8286,74.703805,0.134443,9.684696,195.50905,0.091867,10.007284,329.558509,0.133065,9.50686,199.923788,835084,520.93,504.88,102565.49,0.000998,Malignant
SCC_28_1_valid_patch_01,0.185371,8.398302,125.844903,0.155306,9.13605,283.432656,0.120756,9.38883,443.746039,0.153811,8.974394,284.341199,830582,487.05,522.94,75723.24,0.00182,Malignant
Trichoblastoma_19_1_valid_patch_00,0.223131,8.56593,126.760914,0.190274,9.320163,279.037623,0.152393,9.617397,422.651825,0.188599,9.16783,276.150121,784287,502.88,482.2,84606.12,0.001377,Malignant
Trichoblastoma_19_1_valid_patch_01,0.538572,5.501688,53.207315,0.518907,6.027408,121.000138,0.496219,6.275035,187.975264,0.517899,5.93471,120.727572,454143,727.47,554.91,49423.99,0.002336,Malignant
Trichoblastoma_22_1_valid_patch_00,0.294378,7.988454,129.217188,0.25769,8.776195,286.115108,0.216182,9.108021,440.259153,0.256083,8.624223,285.19715,704639,485.48,510.82,94920.92,0.000983,Malignant
Trichoblastoma_22_1_valid_patch_01,0.21834,8.179089,95.466267,0.174474,9.084995,213.422536,0.126312,9.467387,340.499119,0.173042,8.91049,216.462641,781444,512.89,519.61,115224.31,0.00074,Malignant
Trichoblastoma_23_1_valid_patch_00,0.169873,8.148483,47.383877,0.128911,8.989536,115.31433,0.086288,9.295405,186.913651,0.128357,8.811141,116.537286,839212,507.34,507.51,108213.34,0.000901,Malignant
Trichoblastoma_23_1_valid_patch_01,0.1684,8.434901,59.465462,0.127726,9.317126,141.786763,0.084776,9.64917,226.807936,0.126967,9.133732,142.68672,839400,511.0,515.24,108010.4,0.000904,Malignant
Trichoblastoma_25_1_valid_patch_00,0.537291,5.497792,109.541776,0.496233,6.112348,227.250734,0.453313,6.410706,345.580977,0.495612,6.006949,227.457829,405295,549.09,480.03,95138.39,0.000563,Malignant
Trichoblastoma_25_1_valid_patch_01,0.973036,0.395574,12.893704,0.968473,0.452193,23.660497,0.96496,0.482056,31.581191,0.968823,0.443274,22.711797,6387,696.61,789.2,3426.54,0.006836,Malignant
Trichoblastoma_29_1_valid_patch_00,0.181605,8.522568,140.458421,0.144018,9.389241,315.754195,0.102501,9.705991,501.484498,0.142708,9.205933,319.232371,827507,509.29,514.51,98146.51,0.00108,Malignant
Trichoblastoma_29_1_valid_patch_01,0.15344,8.678682,135.293438,0.119214,9.505111,309.210525,0.082018,9.778134,489.806765,0.118224,9.320642,311.436909,862054,510.34,505.48,88935.68,0.00137,Malignant
Trichoblastoma_31_1_valid_patch_00,0.163572,8.998447,103.231896,0.130095,9.881486,240.427409,0.092044,10.222657,383.187781,0.12857,9.700863,242.282362,849735,510.13,517.46,88273.6,0.00137,Malignant
Trichoblastoma_31_1_valid_patch_01,0.106213,9.426417,78.781058,0.080388,10.302791,195.341916,0.053089,10.597082,305.151089,0.079897,10.108763,193.091354,919985,515.77,514.35,68031.98,0.002498,Malignant
Trichoblastoma_35_1_valid_patch_00,0.264864,7.894361,128.403437,0.2263,8.696025,282.191998,0.181796,9.028683,446.717219,0.22432,8.53969,285.770885,737425,484.29,524.0,99311.86,0.00094,Malignant
Trichoblastoma_35_1_valid_patch_01,0.254487,7.990182,158.237736,0.215197,8.786762,343.608813,0.169758,9.108248,541.03246,0.213147,8.628397,347.626336,746630,508.73,526.48,100390.9,0.000931,Malignant
