Image,area,centroid_row,centroid_col,perimeter,circularity
PNST_15_1_valid_patch_01,789387,508.75,507.43,119052.79,0.0007
PNST_18_1_valid_patch_00,667380,505.01,511.19,102619.36,0.000796
PNST_18_1_valid_patch_01,894716,501.81,517.11,77939.53,0.001851
PNST_19_2_valid_patch_00,752925,522.6,507.96,121273.0,0.000643
PNST_19_2_valid_patch_01,688673,508.93,506.95,141120.7,0.000435
PNST_20_1_valid_patch_00,371692,531.22,562.37,90343.11,0.000572
PNST_20_1_valid_patch_01,391603,414.65,458.48,72192.07,0.000944
PNST_22_1_valid_patch_00,868228,513.28,513.28,97060.09,0.001158
PNST_22_1_valid_patch_01,859931,512.73,513.99,99723.42,0.001087
PNST_25_1_valid_patch_00,656869,509.42,510.95,145344.83,0.000391
PNST_25_1_valid_patch_01,774790,513.19,508.73,125324.95,0.00062
Plasmacytoma_05_1_valid_patch_00,115383,386.95,796.96,20209.81,0.00355
Plasmacytoma_05_1_valid_patch_01,245177,596.1,624.74,50706.79,0.001198
Plasmacytoma_13_1_valid_patch_00,348305,502.76,227.36,52969.78,0.00156
Plasmacytoma_13_1_valid_patch_01,890187,514.14,506.42,88181.6,0.001439
Plasmacytoma_16_1_valid_patch_00,795272,507.3,508.88,118937.94,0.000706
Plasmacytoma_16_1_valid_patch_01,788804,507.03,512.57,122874.06,0.000657
Plasmacytoma_18_1_valid_patch_00,635321,522.34,496.86,147712.0,0.000366
Plasmacytoma_18_1_valid_patch_01,680392,513.63,497.32,146612.02,0.000398
Plasmacytoma_25_1_valid_patch_00,788407,509.11,503.63,118827.94,0.000702
Plasmacytoma_25_1_valid_patch_01,824235,522.85,531.81,92633.24,0.001207
Plasmacytoma_40_1_valid_patch_00,425611,636.39,455.35,68043.38,0.001155
Plasmacytoma_40_1_valid_patch_01,153542,291.25,349.42,35629.24,0.00152
Plasmacytoma_42_1_valid_patch_00,141242,636.9,590.5,34899.41,0.001457
Plasmacytoma_42_1_valid_patch_01,67439,456.29,313.5,15116.68,0.003709
SCC_01_2_valid_patch_00,541888,499.37,500.0,80976.04,0.001038
SCC_01_2_valid_patch_01,865854,496.46,506.42,83752.98,0.001551
SCC_16_2_valid_patch_00,802482,504.82,517.63,102869.04,0.000953
SCC_16_2_valid_patch_01,528446,652.41,534.3,86067.53,0.000896
SCC_17_1_valid_patch_00,588907,519.18,497.2,121421.7,0.000502
SCC_17_1_valid_patch_01,726974,523.05,503.67,128475.35,0.000553
SCC_24_1_valid_patch_00,856643,514.67,515.46,84210.6,0.001518
SCC_24_1_valid_patch_01,666954,467.88,485.92,92635.06,0.000977
SCC_25_1_valid_patch_00,820379,508.61,513.9,96701.96,0.001102
SCC_25_1_valid_patch_01,862674,505.01,511.56,94828.2,0.001206
SCC_26_1_valid_patch_00,563254,471.61,584.19,117674.43,0.000511
SCC_26_1_valid_patch_01,627612,536.75,488.59,139607.84,0.000405
SCC_28_1_valid_patch_00,835084,520.93,504.88,102565.49,0.000998
SCC_28_1_valid_patch_01,830582,487.05,522.94,75723.24,0.00182
Trichoblastoma_19_1_valid_patch_00,784287,502.88,482.2,84606.12,0.001377
Trichoblastoma_19_1_valid_patch_01,454143,727.47,554.91,49423.99,0.002336
Trichoblastoma_22_1_valid_patch_00,704639,485.48,510.82,94920.92,0.000983
Trichoblastoma_22_1_valid_patch_01,781444,512.89,519.61,115224.31,0.00074
Trichoblastoma_23_1_valid_patch_00,839212,507.34,507.51,108213.34,0.000901
Trichoblastoma_23_1_valid_patch_01,839400,511.0,515.24,108010.4,0.000904
Trichoblastoma_25_1_valid_patch_00,405295,549.09,480.03,95138.39,0.000563
Trichoblastoma_25_1_valid_patch_01,6387,696.61,789.2,3426.54,0.006836
Trichoblastoma_29_1_valid_patch_00,827507,509.29,514.51,98146.51,0.00108
Trichoblastoma_29_1_valid_patch_01,862054,510.34,505.48,88935.68,0.00137
Trichoblastoma_31_1_valid_patch_00,849735,510.13,517.46,88273.6,0.00137
Trichoblastoma_31_1_valid_patch_01,919985,515.77,514.35,68031.98,0.002498
Trichoblastoma_35_1_valid_patch_00,737425,484.29,524.0,99311.86,0.00094
Trichoblastoma_35_1_valid_patch_01,746630,508.73,526.48,100390.9,0.000931
